name,price,cuisine,reviews,Location url,location,no. of reviews,City
Biryani By Kilo,?400 for one,Biryani,4.1,https://www.zomato.com/jalandhar/biryani-by-kilo-urban-estate/order,Urban Estate,"3,083",Jalandhar
Biryani By Kilo,?400 for one,Mughlai,4.1,https://www.zomato.com/jalandhar/biryani-by-kilo-urban-estate/order,Urban Estate,"3,083",Jalandhar
Biryani By Kilo,?400 for one,Kebab,4.1,https://www.zomato.com/jalandhar/biryani-by-kilo-urban-estate/order,Urban Estate,"3,083",Jalandhar
Biryani By Kilo,?400 for one,Hyderabadi,4.1,https://www.zomato.com/jalandhar/biryani-by-kilo-urban-estate/order,Urban Estate,"3,083",Jalandhar
Food Bazar,?400 for one,South Indian,4.3,https://www.zomato.com/jalandhar/food-bazar-shastri-nagar/order,Shastri Nagar,40.5K,Jalandhar
Food Bazar,?400 for one,Chinese,4.3,https://www.zomato.com/jalandhar/food-bazar-shastri-nagar/order,Shastri Nagar,40.5K,Jalandhar
Food Bazar,?400 for one,North Indian,4.3,https://www.zomato.com/jalandhar/food-bazar-shastri-nagar/order,Shastri Nagar,40.5K,Jalandhar
Food Bazar,?400 for one,Fast Food,4.3,https://www.zomato.com/jalandhar/food-bazar-shastri-nagar/order,Shastri Nagar,40.5K,Jalandhar
Food Bazar,?400 for one,Street Food,4.3,https://www.zomato.com/jalandhar/food-bazar-shastri-nagar/order,Shastri Nagar,40.5K,Jalandhar
Food Bazar,?400 for one,Beverages,4.3,https://www.zomato.com/jalandhar/food-bazar-shastri-nagar/order,Shastri Nagar,40.5K,Jalandhar
Food Bazar,?400 for one,Desserts,4.3,https://www.zomato.com/jalandhar/food-bazar-shastri-nagar/order,Shastri Nagar,40.5K,Jalandhar
Behrouz Biryani,?400 for one,Biryani,4.3,https://www.zomato.com/jalandhar/behrouz-biryani-shastri-nagar/order,Shastri Nagar,900,Jalandhar
Behrouz Biryani,?400 for one,Kebab,4.3,https://www.zomato.com/jalandhar/behrouz-biryani-shastri-nagar/order,Shastri Nagar,900,Jalandhar
Behrouz Biryani,?400 for one,Mughlai,4.3,https://www.zomato.com/jalandhar/behrouz-biryani-shastri-nagar/order,Shastri Nagar,900,Jalandhar
Lovely Bake Studio,?400 for one,Bakery,4.3,https://www.zomato.com/jalandhar/lovely-bake-studio-nakodar-road/order,Nakodar Road,"9,438",Jalandhar
Lovely Bake Studio,?400 for one,Chinese,4.3,https://www.zomato.com/jalandhar/lovely-bake-studio-nakodar-road/order,Nakodar Road,"9,438",Jalandhar
Lovely Bake Studio,?400 for one,Fast Food,4.3,https://www.zomato.com/jalandhar/lovely-bake-studio-nakodar-road/order,Nakodar Road,"9,438",Jalandhar
Lovely Bake Studio,?400 for one,Beverages,4.3,https://www.zomato.com/jalandhar/lovely-bake-studio-nakodar-road/order,Nakodar Road,"9,438",Jalandhar
Chick Chick PPR,?400 for one,North Indian,3.9,https://www.zomato.com/jalandhar/chick-chick-ppr-ppr-market/order,PPR Market,20.2K,Jalandhar
Chick Chick PPR,?400 for one,Mughlai,3.9,https://www.zomato.com/jalandhar/chick-chick-ppr-ppr-market/order,PPR Market,20.2K,Jalandhar
Chick Chick PPR,?400 for one,Chinese,3.9,https://www.zomato.com/jalandhar/chick-chick-ppr-ppr-market/order,PPR Market,20.2K,Jalandhar
Chick Chick PPR,?400 for one,Seafood,3.9,https://www.zomato.com/jalandhar/chick-chick-ppr-ppr-market/order,PPR Market,20.2K,Jalandhar
Aggarwal Vaishno Dhaba,?400 for one,North Indian,4,https://www.zomato.com/jalandhar/aggarwal-vaishno-dhaba-1-model-town/order,Model Town,33.9K,Jalandhar
